PredictedProbability|PredictedLabel
0.1|0
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
0.8|1
